,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,fourier even x  1 @ [1],474063917,,perlin_778030991,fourier even,1,0,1,1,1,-1.7101031698658757,0.0063957507,28.26878870994443,1.8908427e-06,0.015770115,0.00452307122759521,0.008200534153729677,0.002750122
1,fourier even x  1 @ [1],474063917,,perlin_778030991,fourier even,1,1,1,1,1,-13.926613368469395,0.01062843,25.957146469587858,4.4506096e-06,0.016511602,0.008933687582612038,0.013633945025503635,0.0039644376
2,fourier even x  1 @ [1],474063917,,perlin_778030991,fourier even,1,2,1,1,1,-4.85131791323455,0.008668551,26.92776348419458,7.751396e-06,0.016339755,0.005161514971405268,0.012469247449189425,0.0040790453
3,fourier even x  1 @ [1],474063917,,perlin_778030991,fourier even,1,3,1,1,1,-6.59296795104231,0.009267302,26.616210695079097,6.1683004e-06,0.016485082,0.006165035534650087,0.013070428743958473,0.004060929
4,fourier even x  1 @ [1],474063917,,perlin_297699213,fourier even,1,0,1,1,1,0.37005812038681396,0.004253681,30.364110664456533,5.459242e-10,0.015861476,0.0006776807713322341,0.006858305656351149,0.0040075216
5,fourier even x  1 @ [1],474063917,,perlin_297699213,fourier even,1,1,1,1,1,-5.122959246984021,0.009177393,26.779255384448994,1.912872e-06,0.016257176,0.006106901681050658,0.01207704795524478,0.004082057
6,fourier even x  1 @ [1],474063917,,perlin_297699213,fourier even,1,2,1,1,1,-0.37156707632652064,0.0055375723,29.056688838470876,4.2188176e-06,0.015988352,0.0024151894613169134,0.00822299811989069,0.004077828
7,fourier even x  1 @ [1],474063917,,perlin_297699213,fourier even,1,3,1,1,1,-0.8843307412621519,0.0060730428,28.57509164910637,3.8933294e-06,0.01611652,0.002454914210829884,0.008955198340117931,0.0038071407
8,fourier even x  1 @ [1],474063917,,perlin_873099211,fourier even,1,0,1,1,1,-0.9836563563339262,0.00749801,27.79045812598719,9.606538e-10,0.016499626,0.0017592759104445577,0.012056677835062146,0.005223176
9,fourier even x  1 @ [1],474063917,,perlin_873099211,fourier even,1,1,1,1,1,-2.614546218223555,0.007646009,27.571023277816977,2.4907524e-06,0.01649289,0.00411599176004529,0.010961248073726892,0.004076422
10,fourier even x  1 @ [1],474063917,,perlin_873099211,fourier even,1,2,1,1,1,-6.1774435489810005,0.009193866,26.721298010594555,6.0880325e-06,0.01654486,0.0070350057212635875,0.012164875166490674,0.0039189104
11,fourier even x  1 @ [1],474063917,,perlin_873099211,fourier even,1,3,1,1,1,-8.64212552869889,0.010072328,26.273676531282906,1.2310048e-05,0.01656167,0.006894696154631674,0.013258199207484722,0.0037863688
