,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_960745502,1,0.017281389377901246,0.16426376,3.6681549802864684,4.3615387e-09,0.38986808,0.03497303929179907,0.2769814506173134,0.12544344
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_960745502,2,0.00906029616680637,0.0388221,6.730518525261562,1.1787051e-09,0.1817069,0.0038390709087252617,0.0605047270655632,0.046645183
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_960745502,3,0.04068399579471549,0.018651519,10.94421069586964,3.8221515e-10,0.22978291,0.0011310982808936387,0.012720156693831086,0.040677205
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_759352143,0,0.009401086631963596,0.13228258,6.606833900524459,2.5206162e-09,0.6040524,0.018053193110972643,0.20851247385144234,0.1603412
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_759352143,1,0.028350023062863494,0.079515755,9.280445757006353,7.1304385e-08,0.68170804,0.00850300444290042,0.08216959983110428,0.13235769
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_759352143,2,0.0027611712756939744,0.058042392,4.964390653311086,4.2408832e-08,0.18358849,0.01297017908655107,0.09821616299450397,0.053312782
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_759352143,3,0.006009205938765749,0.035686187,7.60499654695127,1.3415411e-09,0.21065462,0.004846986499615014,0.04405259247869253,0.04361386
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_37078787,0,0.017115544114463477,0.1561498,9.224492664458827,2.8897432e-08,1.3232856,0.016904013231396675,0.12071441672742367,0.27738935
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_37078787,1,0.02526025090715256,0.10424795,8.080901653750601,3.772734e-09,0.6705663,0.010855304542928934,0.15258026495575905,0.13600248
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_37078787,2,0.013479549751446052,0.05892355,10.862944292822018,6.890565e-08,0.7190238,0.005099717760458589,0.05626482143998146,0.12721722
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,276731990,perlin_37078787,3,-0.0037657080923314545,0.0490823,11.815226281335391,1.063587e-07,0.7570263,0.006458293995819986,0.03725334443151951,0.10880929
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_433611252,0,0.007880286314057128,0.23362955,5.978136486425802,1.5758275e-09,0.93130326,0.004504940705373883,0.37654196470975876,0.30400595
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_433611252,1,0.013565090680274894,0.06276033,7.615031023521773,2.0225585e-08,0.3654828,0.005156322498805821,0.08822277560830116,0.0875338
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_433611252,2,0.009438750275357788,0.1450425,7.083250849815369,5.633298e-08,0.7476568,0.026163384318351746,0.2171715758740902,0.14163786
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_433611252,3,-0.004668216522748292,0.13517638,9.881941219325547,6.791306e-07,1.3245143,0.029974328819662333,0.08685735426843166,0.23601034
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_960745502,0,0.015481824471433314,0.22772667,4.724169632173788,2.890502e-09,0.6816985,0.07015109248459339,0.34059010446071625,0.1727953
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_960745502,1,0.01712965569484548,0.16428912,3.667484338873452,1.2607524e-06,0.3853268,0.035772521048784256,0.2791665717959404,0.1251216
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_960745502,2,0.011126052558090849,0.038741168,6.739581329843266,1.7408297e-11,0.18466093,0.003973090322688222,0.05895797722041607,0.046907976
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_960745502,3,0.041817200587949355,0.018629484,10.949343759582757,2.1948523e-09,0.23327373,0.0010380162275396287,0.012796269031241536,0.041014183
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_759352143,0,0.009703372536178922,0.13224223,6.6081588003183995,2.9876414e-11,0.6096326,0.018303758930414915,0.20525476709008217,0.16014528
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_759352143,1,0.02832635055330357,0.07951769,9.280339041865624,3.852509e-08,0.67563003,0.00869763782247901,0.08131820522248745,0.13238823
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_759352143,2,0.004293236341959328,0.057953224,4.971067849582063,1.542876e-07,0.18312776,0.013178203720599413,0.09783932566642761,0.053050097
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_759352143,3,0.0072862579678721895,0.03564034,7.610579585141326,7.5502626e-08,0.20733324,0.004750009975396097,0.04500951152294874,0.04320445
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_37078787,0,0.016994861111225057,0.156169,9.223959207508031,1.1357827e-08,1.3144524,0.01669958047568798,0.12150758691132069,0.2768972
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_37078787,1,0.025099032513618558,0.10426519,8.08018366747244,6.3103336e-08,0.6761227,0.011444195872172713,0.15101991593837738,0.13545235
14,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_37078787,2,0.013818313940083371,0.058903318,10.864435396697523,5.8754637e-09,0.724786,0.004833071492612362,0.05776881519705057,0.12820284
15,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,34492210,perlin_37078787,3,-0.0024975234260817825,0.04902029,11.820716736132377,3.2670955e-10,0.75040543,0.006096514058299363,0.037846650928258896,0.10793254
0,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_433611252,0,0.007706486647451549,0.23367049,5.9773758379995545,2.6251433e-07,0.94232476,0.004978302982635796,0.38041361421346664,0.30236018
1,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_433611252,1,0.013101047270159705,0.06278986,7.612988334459622,1.0510348e-10,0.37198737,0.005031391279771924,0.0894660335034132,0.08811989
2,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_433611252,2,0.009161281595374993,0.14508313,7.082034962914912,1.7507915e-09,0.7569335,0.02555536525323987,0.21651723608374596,0.14140065
3,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_433611252,3,-0.00480062997800923,0.13519418,9.881369642276148,5.244148e-08,1.3376395,0.030064234510064125,0.09004669636487961,0.23715182
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,901403061,perlin_960745502,0,0.015313430497528646,0.22776562,4.723426693494923,1.4971092e-06,0.69055855,0.06967763043940067,0.33946502208709717,0.17312798
