,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
0,chebyshev x  1 @ [1],1050666582,,perlin_778030991,chebyshev,1,0,1,1,1,-4.618330162742268e-10,0.09272656,7.825869942106816,4.0301265e-10,0.56206816,0.006766609498299658,0.0844330582767725,0.14850536
1,chebyshev x  1 @ [1],1050666582,,perlin_778030991,chebyshev,1,1,1,1,1,-1.0045190901308843e-08,0.084518366,6.376864592867238,3.808601e-08,0.36697367,0.014813284622505307,0.10890800878405571,0.097370006
2,chebyshev x  1 @ [1],1050666582,,perlin_778030991,chebyshev,1,2,1,1,1,5.319403029169223e-09,0.07527636,6.511298479295591,1.4163032e-10,0.33712545,0.013659590622410178,0.10587245784699917,0.082196735
3,chebyshev x  1 @ [1],1050666582,,perlin_778030991,chebyshev,1,3,1,1,1,-1.4867480357949603e-08,0.040183876,8.219131732018546,2.1178258e-07,0.2666663,0.00897430838085711,0.041904659010469913,0.05676249
4,chebyshev x  1 @ [1],1050666582,,perlin_297699213,chebyshev,1,0,1,1,1,-2.252676889469285e-08,0.17091908,6.537950830306554,5.8894295e-10,0.77016455,0.04062323924154043,0.1989344209432602,0.19743234
5,chebyshev x  1 @ [1],1050666582,,perlin_297699213,chebyshev,1,1,1,1,1,-4.695521749198406e-09,0.09859328,7.515168559991521,2.1724766e-08,0.5563678,0.007762097986415029,0.13285963982343674,0.12936527
6,chebyshev x  1 @ [1],1050666582,,perlin_297699213,chebyshev,1,2,1,1,1,-3.0601710054867226e-09,0.09622388,5.564592400419713,6.1980856e-08,0.34653315,0.009601566242054105,0.16518395021557808,0.09661255
7,chebyshev x  1 @ [1],1050666582,,perlin_297699213,chebyshev,1,3,1,1,1,-1.2744536537212525e-09,0.06690458,8.393893277515506,5.123141e-09,0.46221375,0.005111296894028783,0.07497531175613403,0.09851717
8,chebyshev x  1 @ [1],1050666582,,perlin_873099211,chebyshev,1,0,1,1,1,-6.789490969438816e-09,0.17470895,4.993369557449905,6.1721545e-07,0.5516384,0.017616499681025743,0.31813373416662216,0.18003207
9,chebyshev x  1 @ [1],1050666582,,perlin_873099211,chebyshev,1,1,1,1,1,5.904920108434908e-09,0.14303893,7.107595954345946,1.5603938e-07,0.73487926,0.02859087148681283,0.18717094883322716,0.16666906
10,chebyshev x  1 @ [1],1050666582,,perlin_873099211,chebyshev,1,2,1,1,1,-1.3204797921773093e-08,0.061121173,6.512996122876832,7.1034684e-10,0.27383426,0.0067819051910191774,0.10199075378477573,0.077737615
11,chebyshev x  1 @ [1],1050666582,,perlin_873099211,chebyshev,1,3,1,1,1,-2.1352377865824224e-08,0.0350049,9.61026785266295,3.6819947e-09,0.3200065,0.0010687291214708239,0.040902611799538136,0.060708296
12,chebyshev x  1 @ [1],1050666582,,perlin_46852263,chebyshev,1,0,1,1,1,-1.3416481481343112e-08,0.18667594,5.708937442655992,1.7307114e-08,0.69499207,0.012816958362236619,0.3121502473950386,0.21169686
13,chebyshev x  1 @ [1],1050666582,,perlin_46852263,chebyshev,1,1,1,1,1,-8.432949449854732e-08,0.050033495,7.439022448286671,6.3614025e-10,0.2774384,0.005267443717457354,0.0783757884055376,0.060998686
