,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
4,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_960745502,0,0.7222545460450653,0.0017638083,34.157729169867,1.1951329e-09,0.008057597,0.00023268701988854446,0.0026556761586107314,0.0020583943
5,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_960745502,1,0.7920871275267187,0.0008731224,37.042101084082645,5.684342e-12,0.00321785,0.0001432036115147639,0.0014190009969752282,0.0008658157
6,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_960745502,2,0.35345435410405823,0.00082293275,37.21670287673108,4.747619e-09,0.002797964,0.00023719006276223809,0.001240771875018254,0.0007382271
7,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_960745502,3,-1.0805302420030642,0.0010122918,36.112155523281224,1.4018244e-06,0.002697859,0.0005185320333112031,0.0014650399389211088,0.00055158034
8,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_759352143,0,0.5779929481912697,0.0016434694,34.30635449204181,6.963319e-11,0.008745107,0.0004150103995925747,0.001928873040014878,0.0018957523
9,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_759352143,1,0.4400809139615901,0.00084669236,37.06046922442974,2.627587e-09,0.0027529476,0.00036235323204891756,0.0012124490167479962,0.00061589986
10,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_759352143,2,0.6783608944136834,0.00057608186,38.70709321985696,9.323742e-11,0.0028281864,4.539037672657287e-05,0.0009317701187683269,0.0007475037
11,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_759352143,3,0.5882749935420475,0.00066151377,38.04726825494697,9.094947e-13,0.0027916871,5.920462353969924e-05,0.0010177899384871125,0.0007009342
12,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_37078787,0,0.6532161743106395,0.00177615,33.94238349480093,2.890502e-09,0.0096334955,0.00046417387784458697,0.0018965577764902264,0.0022821291
13,MP-PDE,MP-PDE,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[8],42,316013540,perlin_37078787,1,0.7581914534646544,0.00053130323,39.06471819563465,1.1004886e-10,0.0027026164,4.9474700063001364e-05,0.0009311935136793181,0.0006276252
