,label,seed,window,file,basis,n,entry,params,depth,width,r2,l2,psnr,min,max,q1,q3,std
11,dmcf x  1 @ [1],766980806,,perlin_873099211,dmcf,1,3,1,1,1,-3831.570198453436,4.0035677,0.2805036973783875,3.7760289,4.270685,3.9050366282463074,4.058951020240784,0.12944713
12,dmcf x  1 @ [1],766980806,,perlin_46852263,dmcf,1,0,1,1,1,-266.84618505286716,4.045511,0.7298970548454798,3.3976517,4.785895,3.5617100596427917,4.505417823791504,0.49403456
13,dmcf x  1 @ [1],766980806,,perlin_46852263,dmcf,1,1,1,1,1,-2438.006497022216,4.0053573,0.25962390364103566,3.679913,4.252102,3.9050260186195374,4.175620436668396,0.16175772
14,dmcf x  1 @ [1],766980806,,perlin_46852263,dmcf,1,2,1,1,1,-389.6169825762957,4.0311127,0.6129426062661361,3.4841654,4.642151,3.607541501522064,4.442560434341431,0.40882006
15,dmcf x  1 @ [1],766980806,,perlin_46852263,dmcf,1,3,1,1,1,-531.3998606797503,4.0233164,0.4469327674200475,3.4205275,4.45941,3.6859150528907776,4.314956068992615,0.3445727
0,dmcf x  1 @ [1],602301502,,perlin_778030991,dmcf,1,0,1,1,1,-1697.0974946804884,4.007452,0.2990208038223676,3.7142954,4.293094,3.8288811445236206,4.208183526992798,0.19459465
1,dmcf x  1 @ [1],602301502,,perlin_778030991,dmcf,1,1,1,1,1,-5620.279319407293,4.0026073,0.19840739297599919,3.7135901,4.189708,3.9655070900917053,4.068659782409668,0.10609864
2,dmcf x  1 @ [1],602301502,,perlin_778030991,dmcf,1,2,1,1,1,-2702.300874552807,4.004859,0.2813568121344235,3.7477942,4.2729015,3.877680480480194,4.145735859870911,0.15414073
3,dmcf x  1 @ [1],602301502,,perlin_778030991,dmcf,1,3,1,1,1,-3279.6633072042437,4.0040865,0.2607091787309036,3.7809749,4.251816,3.8694469332695007,4.112082004547119,0.13991596
4,dmcf x  1 @ [1],602301502,,perlin_297699213,dmcf,1,0,1,1,1,-594.4023023952371,4.0204525,0.6090097940877395,3.5706959,4.6256843,3.7129327058792114,4.241660118103027,0.33083442
5,dmcf x  1 @ [1],602301502,,perlin_297699213,dmcf,1,1,1,1,1,-2670.9687937377985,4.0048785,0.3805556129381098,3.7667568,4.3716455,3.9037826657295227,4.113729476928711,0.15610762
6,dmcf x  1 @ [1],602301502,,perlin_297699213,dmcf,1,2,1,1,1,-992.8247212870177,4.012473,0.455761162014022,3.5507267,4.456442,3.809275209903717,4.256593823432922,0.25431514
7,dmcf x  1 @ [1],602301502,,perlin_297699213,dmcf,1,3,1,1,1,-1243.2355381996292,4.010069,0.37763647308825976,3.6254382,4.3743696,3.8545276522636414,4.187480926513672,0.22668
