-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::set_         0.19%     343.000us         0.19%     343.000us       7.146us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -92.00 Kb     -92.00 Kb            48  
                                              aten::neg         0.13%     231.000us         0.19%     334.000us      20.875us     137.000us         0.23%     137.000us       8.562us           0 b           0 b     872.00 Kb     872.00 Kb            16  
                                   aten::_reshape_alias         0.13%     229.000us         0.13%     229.000us       0.674us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           340  
                                          aten::resize_         0.13%     229.000us         0.13%     229.000us       4.771us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     143.63 Mb     143.63 Mb            48  
                                       aten::index_put_         0.13%     221.000us         2.44%       4.300ms     179.167us       0.000us         0.00%       1.142ms      47.583us           0 b           0 b     -27.41 Mb     -27.41 Mb            24  
                                       aten::reciprocal         0.12%     207.000us         0.32%     563.000us     140.750us       8.000us         0.01%       8.000us       2.000us           0 b           0 b     436.00 Kb     436.00 Kb             4  
                                        aten::transpose         0.11%     197.000us         0.14%     240.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
                                                aten::t         0.11%     193.000us         0.25%     433.000us       9.021us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
                               cudaStreamGetCaptureInfo         0.11%     191.000us         0.11%     191.000us       0.166us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1152  
                                         aten::_to_copy         0.10%     171.000us         0.63%       1.112ms      46.333us       0.000us         0.00%      40.000us       1.667us          16 b         -16 b     878.00 Kb           0 b            24  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.05%      82.000us         0.05%      82.000us       0.569us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           144  
                                               aten::to         0.04%      78.000us         0.68%       1.190ms      42.500us       0.000us         0.00%      40.000us       1.429us          16 b           0 b     878.00 Kb           0 b            28  
                                              aten::cat         0.04%      78.000us         0.07%     115.000us      28.750us      12.000us         0.02%      12.000us       3.000us           0 b           0 b     872.00 Kb     872.00 Kb             4  
                                        aten::unsqueeze         0.04%      69.000us         0.04%      75.000us       3.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
                                              aten::div         0.03%      60.000us         0.05%      96.000us      24.000us       8.000us         0.01%       8.000us       2.000us           0 b           0 b     872.00 Kb     872.00 Kb             4  
                                             aten::sub_         0.03%      53.000us         0.05%      83.000us      20.750us      12.000us         0.02%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
                   fused_pow_reciprocal_mul_mul_pow_mul         0.02%      44.000us         0.02%      44.000us      11.000us       0.000us         0.00%       0.000us       0.000us          48 b          48 b           0 b           0 b             4  
                                 cudaDeviceGetAttribute         0.02%      36.000us         0.02%      36.000us       0.150us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240  
                                        aten::expand_as         0.02%      29.000us         0.03%      59.000us       7.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                             aten::rand         0.01%      21.000us         1.04%       1.838ms     459.500us       0.000us         0.00%       0.000us       0.000us     870.78 Kb           0 b           0 b           0 b             4  
                                           aten::vstack         0.01%      16.000us         0.09%     167.000us      41.750us       0.000us         0.00%      12.000us       3.000us           0 b           0 b     872.00 Kb           0 b             4  
                                       aten::atleast_2d         0.01%      12.000us         0.02%      36.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::permute         0.01%      12.000us         0.01%      16.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::numpy_T         0.00%       8.000us         0.01%      24.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaDeviceSynchronize         0.00%       6.000us         0.00%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::flatten         0.00%       5.000us         0.00%       5.000us       0.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.01%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us    -870.71 Kb    -870.71 Kb     -88.21 Mb     -88.21 Mb           104  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.000us         0.04%      23.000us       1.917us           0 b           0 b           0 b           0 b            12  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.631ms        12.61%       7.631ms      24.149us           0 b           0 b           0 b           0 b           316  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.000us         0.02%      10.000us       1.250us           0 b           0 b           0 b           0 b             8  
CudaCodeGen::kernel33(CudaCodeGen::CpuScalarTensor<d...         0.00%       0.000us         0.00%       0.000us       0.000us       1.013ms         1.67%       1.013ms     253.250us           0 b           0 b           0 b           0 b             4  
CudaCodeGen::kernel34(CudaCodeGen::Tensor<float, 1>,...         0.00%       0.000us         0.00%       0.000us       0.000us     190.000us         0.31%     190.000us      47.500us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.379ms         2.28%       1.379ms       2.016us           0 b           0 b           0 b           0 b           684  
